Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
VJR,Analytical,CBR128,D,Dawn2,1,8,10min
VJR,Analytical,CBR128,E,Dawn2,4,8,10min
VJR,Analytical,CBR128,VJR,Dawn2,27,8,10min
D,Analytical,CBR128,D,Dusk1,35,8,10min
D,Analytical,CBR128,E,Dusk1,0,8,10min
D,Analytical,CBR128,VJR,Dusk1,1,8,10min
E,Analytical,CBR128,D,Dusk1,4,8,10min
E,Analytical,CBR128,E,Dusk1,24,8,10min
E,Analytical,CBR128,VJR,Dusk1,8,8,10min
VJR,Analytical,CBR128,D,Dusk1,2,8,10min
VJR,Analytical,CBR128,E,Dusk1,6,8,10min
VJR,Analytical,CBR128,VJR,Dusk1,28,8,10min
D,Analytical,CBR128,D,Dusk2,14,8,10min
D,Analytical,CBR128,E,Dusk2,4,8,10min
D,Analytical,CBR128,VJR,Dusk2,18,8,10min
E,Analytical,CBR128,D,Dusk2,7,8,10min
E,Analytical,CBR128,E,Dusk2,15,8,10min
E,Analytical,CBR128,VJR,Dusk2,14,8,10min
VJR,Analytical,CBR128,D,Dusk2,4,8,10min
VJR,Analytical,CBR128,E,Dusk2,4,8,10min
VJR,Analytical,CBR128,VJR,Dusk2,28,8,10min
D,Analytical,CBR128,D,Midday1,34,8,10min
D,Analytical,CBR128,E,Midday1,6,8,10min
D,Analytical,CBR128,VJR,Midday1,0,8,10min
E,Analytical,CBR128,D,Midday1,23,8,10min
E,Analytical,CBR128,E,Midday1,13,8,10min
E,Analytical,CBR128,VJR,Midday1,0,8,10min
VJR,Analytical,CBR128,D,Midday1,0,8,10min
VJR,Analytical,CBR128,E,Midday1,15,8,10min
VJR,Analytical,CBR128,VJR,Midday1,15,8,10min
D,Analytical,CBR128,D,Midday2,14,8,10min
D,Analytical,CBR128,E,Midday2,21,8,10min
D,Analytical,CBR128,VJR,Midday2,1,8,10min
E,Analytical,CBR128,D,Midday2,1,8,10min
E,Analytical,CBR128,E,Midday2,28,8,10min
E,Analytical,CBR128,VJR,Midday2,7,8,10min
VJR,Analytical,CBR128,D,Midday2,0,8,10min
VJR,Analytical,CBR128,E,Midday2,2,8,10min
VJR,Analytical,CBR128,VJR,Midday2,34,8,10min
D,Analytical,CBR128,D,Midnight1,32,8,10min
D,Analytical,CBR128,E,Midnight1,2,8,10min
D,Analytical,CBR128,VJR,Midnight1,2,8,10min
E,Analytical,CBR128,D,Midnight1,0,8,10min
E,Analytical,CBR128,E,Midnight1,27,8,10min
E,Analytical,CBR128,VJR,Midnight1,9,8,10min
VJR,Analytical,CBR128,D,Midnight1,0,8,10min
VJR,Analytical,CBR128,E,Midnight1,4,8,10min
VJR,Analytical,CBR128,VJR,Midnight1,32,8,10min
D,Analytical,CBR128,D,Midnight2,28,8,10min
D,Analytical,CBR128,E,Midnight2,7,8,10min
D,Analytical,CBR128,VJR,Midnight2,1,8,10min
E,Analytical,CBR128,D,Midnight2,4,8,10min
E,Analytical,CBR128,E,Midnight2,27,8,10min
E,Analytical,CBR128,VJR,Midnight2,5,8,10min
VJR,Analytical,CBR128,D,Midnight2,1,8,10min
VJR,Analytical,CBR128,E,Midnight2,17,8,10min
VJR,Analytical,CBR128,VJR,Midnight2,18,8,10min
D,Analytical,CBR128,D,Whole Day,239,None,10min
D,Analytical,CBR128,E,Whole Day,30,None,10min
D,Analytical,CBR128,VJR,Whole Day,31,None,10min
E,Analytical,CBR128,D,Whole Day,61,None,10min
E,Analytical,CBR128,E,Whole Day,153,None,10min
E,Analytical,CBR128,VJR,Whole Day,68,None,10min
VJR,Analytical,CBR128,D,Whole Day,6,None,10min
VJR,Analytical,CBR128,E,Whole Day,74,None,10min
VJR,Analytical,CBR128,VJR,Whole Day,198,None,10min
D,Analytical,CBR16,D,Dawn1,24,12,10min
D,Analytical,CBR16,E,Dawn1,0,12,10min
D,Analytical,CBR16,VJR,Dawn1,0,12,10min
E,Analytical,CBR16,D,Dawn1,2,12,10min
E,Analytical,CBR16,E,Dawn1,17,12,10min
E,Analytical,CBR16,VJR,Dawn1,5,12,10min
VJR,Analytical,CBR16,D,Dawn1,0,12,10min
VJR,Analytical,CBR16,E,Dawn1,11,12,10min
VJR,Analytical,CBR16,VJR,Dawn1,13,12,10min
D,Analytical,CBR16,D,Dawn2,23,12,10min
D,Analytical,CBR16,E,Dawn2,1,12,10min
D,Analytical,CBR16,VJR,Dawn2,0,12,10min
E,Analytical,CBR16,D,Dawn2,3,12,10min
E,Analytical,CBR16,E,Dawn2,19,12,10min
E,Analytical,CBR16,VJR,Dawn2,2,12,10min
VJR,Analytical,CBR16,D,Dawn2,0,12,10min
VJR,Analytical,CBR16,E,Dawn2,0,12,10min
VJR,Analytical,CBR16,VJR,Dawn2,24,12,10min
D,Analytical,CBR16,D,Dawn3,25,12,10min
D,Analytical,CBR16,E,Dawn3,3,12,10min
D,Analytical,CBR16,VJR,Dawn3,3,12,10min
