compression,file.size,frame.size,accuracy,precision,recall,time,chunks,index.type
CBR320,41.6,2_5min,0.945093458,0.945021139,0.94302399,Dawn,4,AudioSet
CBR320,41.6,2_5min,0.857638889,0.877241407,0.857638889,Dusk,4,AudioSet
CBR320,41.6,2_5min,0.950688073,0.950200533,0.951441498,Midday,4,AudioSet
CBR320,41.6,2_5min,0.989583333,0.989587227,0.989583333,Midnight,4,AudioSet
CBR64,8.33,2_5min,0.931074766,0.933044417,0.931038324,Dawn,4,AudioSet
CBR64,8.33,2_5min,0.899305556,0.904850813,0.899305556,Dusk,4,AudioSet
CBR64,8.33,2_5min,0.92087156,0.919973118,0.920159933,Midday,4,AudioSet
CBR64,8.33,2_5min,0.972222222,0.972591055,0.972222222,Midnight,4,AudioSet
CBR8,1.04,2_5min,0.925233645,0.924454114,0.921232546,Dawn,4,AudioSet
CBR8,1.04,2_5min,0.851851852,0.871946778,0.851851852,Dusk,4,AudioSet
CBR8,1.04,2_5min,0.895642202,0.897923405,0.893034512,Midday,4,AudioSet
CBR8,1.04,2_5min,0.863425926,0.874126392,0.863425926,Midnight,4,AudioSet
RAW,100,2_5min,0.946261682,0.946055639,0.94424948,Dawn,4,AudioSet
RAW,100,2_5min,0.856481481,0.876486478,0.856481481,Dusk,4,AudioSet
RAW,100,2_5min,0.952981651,0.952389533,0.953756313,Midday,4,AudioSet
RAW,100,2_5min,0.989583333,0.989587227,0.989583333,Midnight,4,AudioSet
VBR0,22.56,2_5min,0.947429907,0.947253665,0.945512106,Dawn,4,AudioSet
VBR0,22.56,2_5min,0.851851852,0.869411689,0.851851852,Dusk,4,AudioSet
VBR0,22.56,2_5min,0.949541284,0.949206922,0.950399832,Midday,4,AudioSet
VBR0,22.56,2_5min,0.990740741,0.990740741,0.990740741,Midnight,4,AudioSet
CBR128,16.667,20min,0.953271028,0.952210275,0.950683304,Dawn,4,AudioSet
CBR128,16.667,20min,0.907407407,0.911327031,0.907407407,Dusk,4,AudioSet
CBR128,16.667,20min,0.981651376,0.980952381,0.982407407,Midday,4,AudioSet
CBR128,16.667,20min,0.990740741,0.990990991,0.990740741,Midnight,4,AudioSet
CBR16,2.08,20min,0.953271028,0.952210275,0.950683304,Dawn,4,AudioSet
CBR16,2.08,20min,0.916666667,0.920454877,0.916666667,Dusk,4,AudioSet
CBR16,2.08,20min,0.963302752,0.962881563,0.964814815,Midday,4,AudioSet
CBR16,2.08,20min,0.925925926,0.93245614,0.925925926,Midnight,4,AudioSet
CBR256,33.35,20min,0.953271028,0.952210275,0.950683304,Dawn,4,AudioSet
CBR256,33.35,20min,0.935185185,0.943371943,0.935185185,Dusk,4,AudioSet
CBR256,33.35,20min,0.981651376,0.980952381,0.982407407,Midday,4,AudioSet
CBR256,33.35,20min,1,1,1,Midnight,4,AudioSet
