compression,file.size,frame.size,accuracy,precision,recall,TOD,chunks,index.type
CBR8,1.04,10min,0.768518519,0.777381372,0.768518519,Dawn,8,Analytical_Indices
CBR8,1.04,10min,0.62962963,0.628396973,0.62962963,Dusk,8,Analytical_Indices
CBR8,1.04,10min,0.851851852,0.855750487,0.851851852,Early AM,8,Analytical_Indices
CBR8,1.04,10min,0.703703704,0.744244457,0.703703704,Evening,8,Analytical_Indices
CBR8,1.04,10min,0.796296296,0.845090188,0.796296296,Midday,8,Analytical_Indices
CBR8,1.04,10min,0.796296296,0.797916667,0.796296296,Midnight,8,Analytical_Indices
CBR8,1.04,10min,0.798076923,0.780281072,0.77724359,Morning,8,Analytical_Indices
CBR8,1.04,2_5min,0.898148148,0.900324303,0.898148148,Afternoon,8,Analytical_Indices
CBR8,1.04,2_5min,0.828703704,0.841519966,0.828703704,Dawn,8,Analytical_Indices
CBR8,1.04,2_5min,0.699074074,0.708400944,0.699074074,Dusk,8,Analytical_Indices
CBR8,1.04,2_5min,0.854166667,0.862602032,0.854166667,Early AM,8,Analytical_Indices
CBR8,1.04,2_5min,0.731481481,0.760718992,0.731481481,Evening,8,Analytical_Indices
CBR8,1.04,2_5min,0.821759259,0.840803783,0.821759259,Midday,8,Analytical_Indices
CBR8,1.04,2_5min,0.810185185,0.810434783,0.810185185,Midnight,8,Analytical_Indices
CBR8,1.04,2_5min,0.800480769,0.783719197,0.791239316,Morning,8,Analytical_Indices
CBR8,1.04,20min,0.925925926,0.934837093,0.925925926,Afternoon,8,Analytical_Indices
CBR8,1.04,20min,0.685185185,0.686034256,0.685185185,Dawn,8,Analytical_Indices
CBR8,1.04,20min,0.62962963,0.636554622,0.62962963,Dusk,8,Analytical_Indices
CBR8,1.04,20min,0.740740741,0.765873016,0.740740741,Early AM,8,Analytical_Indices
CBR8,1.04,20min,0.759259259,0.78968254,0.759259259,Evening,8,Analytical_Indices
CBR8,1.04,20min,0.8,0.852869353,0.796296296,Midday,8,Analytical_Indices
