Obs,Ind,Comp,Pred,Time,N
Grassland,AI,RAW,Primary,Midnight,1
Grassland,AI,CBR8,Primary,Midnight,3
Grassland,AS,RAW,Grassland,Day,1160 
Grassland,AS,CBR8,Grassland,Day,1173 
Grassland,AI,RAW,Grassland,Day,1011 
Grassland,AI,CBR8,Grassland,Day,979 
Grassland,AS,RAW,Logged,Day,24 
Grassland,AS,CBR8,Logged,Day,10 
Grassland,AI,RAW,Logged,Day,126 
Grassland,AI,CBR8,Logged,Day,56 
Grassland,AS,RAW,Primary,Day,32 
Grassland,AS,CBR8,Primary,Day,33 
Grassland,AI,RAW,Primary,Day,75 
Grassland,AI,CBR8,Primary,Day,165 
