Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
Grassland,AS,CBR16,Grassland,Dusk,71,8,5min
Grassland,AS,CBR256,Grassland,Dusk,66,8,5min
Grassland,AS,CBR32,Grassland,Dusk,67,8,5min
Grassland,AS,CBR320,Grassland,Dusk,65,8,5min
Grassland,AS,CBR64,Grassland,Dusk,69,8,5min
Grassland,AS,CBR8,Grassland,Dusk,68,8,5min
Grassland,AS,RAW,Grassland,Dusk,66,8,5min
Grassland,AS,VBR0,Grassland,Dusk,68,8,5min
Grassland,AI,CBR128,Grassland,Dusk1,20,12,10min
Grassland,AI,CBR16,Grassland,Dusk1,15,12,10min
Grassland,AI,CBR256,Grassland,Dusk1,23,12,10min
Grassland,AI,CBR32,Grassland,Dusk1,21,12,10min
Grassland,AI,CBR320,Grassland,Dusk1,22,12,10min
Grassland,AI,CBR64,Grassland,Dusk1,23,12,10min
Grassland,AI,CBR8,Grassland,Dusk1,13,12,10min
Grassland,AI,RAW,Grassland,Dusk1,13,12,10min
Grassland,AI,VBR0,Grassland,Dusk1,13,12,10min
Grassland,AI,CBR128,Grassland,Dusk1,85,12,2.5min
Grassland,AI,CBR16,Grassland,Dusk1,46,12,2.5min
Grassland,AI,CBR256,Grassland,Dusk1,94,12,2.5min
Grassland,AI,CBR32,Grassland,Dusk1,91,12,2.5min
Grassland,AI,CBR320,Grassland,Dusk1,81,12,2.5min
Grassland,AI,CBR64,Grassland,Dusk1,87,12,2.5min
Grassland,AI,CBR8,Grassland,Dusk1,66,12,2.5min
Grassland,AI,RAW,Grassland,Dusk1,87,12,2.5min
Grassland,AI,VBR0,Grassland,Dusk1,81,12,2.5min
Grassland,AI,CBR128,Grassland,Dusk1,12,12,20min
Grassland,AI,CBR16,Grassland,Dusk1,7,12,20min
Grassland,AI,CBR256,Grassland,Dusk1,12,12,20min
Grassland,AI,CBR32,Grassland,Dusk1,11,12,20min
Grassland,AI,CBR320,Grassland,Dusk1,11,12,20min
Grassland,AI,CBR64,Grassland,Dusk1,11,12,20min
Grassland,AI,CBR8,Grassland,Dusk1,8,12,20min
Grassland,AI,RAW,Grassland,Dusk1,8,12,20min
Grassland,AI,VBR0,Grassland,Dusk1,11,12,20min
Grassland,AI,CBR128,Grassland,Dusk1,47,12,5min
Grassland,AI,CBR16,Grassland,Dusk1,24,12,5min
Grassland,AI,CBR256,Grassland,Dusk1,47,12,5min
Grassland,AI,CBR32,Grassland,Dusk1,42,12,5min
Grassland,AI,CBR320,Grassland,Dusk1,47,12,5min
Grassland,AI,CBR64,Grassland,Dusk1,45,12,5min
Grassland,AI,CBR8,Grassland,Dusk1,30,12,5min
Grassland,AI,RAW,Grassland,Dusk1,40,12,5min
Grassland,AI,VBR0,Grassland,Dusk1,35,12,5min
Grassland,AS,CBR128,Grassland,Dusk1,23,12,10min
Grassland,AS,CBR16,Grassland,Dusk1,17,12,10min
Grassland,AS,CBR256,Grassland,Dusk1,23,12,10min
Grassland,AS,CBR32,Grassland,Dusk1,18,12,10min
Grassland,AS,CBR320,Grassland,Dusk1,23,12,10min
Grassland,AS,CBR64,Grassland,Dusk1,18,12,10min
Grassland,AS,CBR8,Grassland,Dusk1,15,12,10min
Grassland,AS,RAW,Grassland,Dusk1,23,12,10min
Grassland,AS,VBR0,Grassland,Dusk1,23,12,10min
Grassland,AS,CBR128,Grassland,Dusk1,80,12,2.5min
Grassland,AS,CBR16,Grassland,Dusk1,70,12,2.5min
Grassland,AS,CBR256,Grassland,Dusk1,78,12,2.5min
Grassland,AS,CBR32,Grassland,Dusk1,71,12,2.5min
Grassland,AS,CBR320,Grassland,Dusk1,80,12,2.5min
Grassland,AS,CBR64,Grassland,Dusk1,74,12,2.5min
Grassland,AS,CBR8,Grassland,Dusk1,59,12,2.5min
Grassland,AS,RAW,Grassland,Dusk1,79,12,2.5min
Grassland,AS,VBR0,Grassland,Dusk1,86,12,2.5min
Grassland,AS,CBR128,Grassland,Dusk1,12,12,20min
Grassland,AS,CBR16,Grassland,Dusk1,8,12,20min
Grassland,AS,CBR256,Grassland,Dusk1,12,12,20min
Grassland,AS,CBR32,Grassland,Dusk1,9,12,20min
Grassland,AS,CBR320,Grassland,Dusk1,11,12,20min
Grassland,AS,CBR64,Grassland,Dusk1,10,12,20min
Grassland,AS,CBR8,Grassland,Dusk1,7,12,20min
Grassland,AS,RAW,Grassland,Dusk1,12,12,20min
Grassland,AS,VBR0,Grassland,Dusk1,12,12,20min
Grassland,AS,CBR128,Grassland,Dusk1,44,12,5min
Grassland,AS,CBR16,Grassland,Dusk1,39,12,5min
Grassland,AS,CBR256,Grassland,Dusk1,44,12,5min
Grassland,AS,CBR32,Grassland,Dusk1,35,12,5min
Grassland,AS,CBR320,Grassland,Dusk1,45,12,5min
Grassland,AS,CBR64,Grassland,Dusk1,44,12,5min
Grassland,AS,CBR8,Grassland,Dusk1,32,12,5min
Grassland,AS,RAW,Grassland,Dusk1,43,12,5min
Grassland,AS,VBR0,Grassland,Dusk1,44,12,5min
Grassland,AI,CBR128,Grassland,Dusk2,24,12,10min
Grassland,AI,CBR16,Grassland,Dusk2,11,12,10min
Grassland,AI,CBR256,Grassland,Dusk2,24,12,10min
Grassland,AI,CBR32,Grassland,Dusk2,14,12,10min
Grassland,AI,CBR320,Grassland,Dusk2,24,12,10min
Grassland,AI,CBR64,Grassland,Dusk2,22,12,10min
Grassland,AI,CBR8,Grassland,Dusk2,15,12,10min
Grassland,AI,RAW,Grassland,Dusk2,14,12,10min
Grassland,AI,VBR0,Grassland,Dusk2,13,12,10min
Grassland,AI,CBR128,Grassland,Dusk2,60,12,2.5min
Grassland,AI,CBR16,Grassland,Dusk2,54,12,2.5min
Grassland,AI,CBR256,Grassland,Dusk2,77,12,2.5min
Grassland,AI,CBR32,Grassland,Dusk2,57,12,2.5min
Grassland,AI,CBR320,Grassland,Dusk2,60,12,2.5min
Grassland,AI,CBR64,Grassland,Dusk2,63,12,2.5min
Grassland,AI,CBR8,Grassland,Dusk2,63,12,2.5min
Grassland,AI,RAW,Grassland,Dusk2,84,12,2.5min
Grassland,AI,VBR0,Grassland,Dusk2,59,12,2.5min
Grassland,AI,CBR128,Grassland,Dusk2,11,12,20min
Grassland,AI,CBR16,Grassland,Dusk2,5,12,20min
Grassland,AI,CBR256,Grassland,Dusk2,7,12,20min
Grassland,AI,CBR32,Grassland,Dusk2,6,12,20min
Grassland,AI,CBR320,Grassland,Dusk2,4,12,20min
Grassland,AI,CBR64,Grassland,Dusk2,11,12,20min
Grassland,AI,CBR8,Grassland,Dusk2,8,12,20min
Grassland,AI,RAW,Grassland,Dusk2,10,12,20min
Grassland,AI,VBR0,Grassland,Dusk2,5,12,20min
Grassland,AI,CBR128,Grassland,Dusk2,45,12,5min
Grassland,AI,CBR16,Grassland,Dusk2,26,12,5min
Grassland,AI,CBR256,Grassland,Dusk2,47,12,5min
Grassland,AI,CBR32,Grassland,Dusk2,31,12,5min
Grassland,AI,CBR320,Grassland,Dusk2,47,12,5min
Grassland,AI,CBR64,Grassland,Dusk2,48,12,5min
Grassland,AI,CBR8,Grassland,Dusk2,31,12,5min
Grassland,AI,RAW,Grassland,Dusk2,36,12,5min
Grassland,AI,VBR0,Grassland,Dusk2,28,12,5min
Grassland,AS,CBR128,Grassland,Dusk2,21,12,10min
Grassland,AS,CBR16,Grassland,Dusk2,23,12,10min
Grassland,AS,CBR256,Grassland,Dusk2,22,12,10min
Grassland,AS,CBR32,Grassland,Dusk2,24,12,10min
Grassland,AS,CBR320,Grassland,Dusk2,22,12,10min
Grassland,AS,CBR64,Grassland,Dusk2,24,12,10min
Grassland,AS,CBR8,Grassland,Dusk2,24,12,10min
Grassland,AS,RAW,Grassland,Dusk2,22,12,10min
Grassland,AS,VBR0,Grassland,Dusk2,22,12,10min
Grassland,AS,CBR128,Grassland,Dusk2,88,12,2.5min
Grassland,AS,CBR16,Grassland,Dusk2,96,12,2.5min
Grassland,AS,CBR256,Grassland,Dusk2,87,12,2.5min
Grassland,AS,CBR32,Grassland,Dusk2,94,12,2.5min
Grassland,AS,CBR320,Grassland,Dusk2,87,12,2.5min
Grassland,AS,CBR64,Grassland,Dusk2,96,12,2.5min
Grassland,AS,CBR8,Grassland,Dusk2,94,12,2.5min
Grassland,AS,RAW,Grassland,Dusk2,87,12,2.5min
Grassland,AS,VBR0,Grassland,Dusk2,86,12,2.5min
Grassland,AS,CBR128,Grassland,Dusk2,11,12,20min
Grassland,AS,CBR16,Grassland,Dusk2,12,12,20min
Grassland,AS,CBR256,Grassland,Dusk2,11,12,20min
Grassland,AS,CBR32,Grassland,Dusk2,12,12,20min
Grassland,AS,CBR320,Grassland,Dusk2,11,12,20min
Grassland,AS,CBR64,Grassland,Dusk2,12,12,20min
Grassland,AS,CBR8,Grassland,Dusk2,12,12,20min
Grassland,AS,RAW,Grassland,Dusk2,12,12,20min
Grassland,AS,VBR0,Grassland,Dusk2,11,12,20min
Grassland,AS,CBR128,Grassland,Dusk2,45,12,5min
Grassland,AS,CBR16,Grassland,Dusk2,48,12,5min
Grassland,AS,CBR256,Grassland,Dusk2,44,12,5min
Grassland,AS,CBR32,Grassland,Dusk2,48,12,5min
Grassland,AS,CBR320,Grassland,Dusk2,44,12,5min
Grassland,AS,CBR64,Grassland,Dusk2,48,12,5min
Grassland,AS,CBR8,Grassland,Dusk2,48,12,5min
Grassland,AS,RAW,Grassland,Dusk2,42,12,5min
Grassland,AS,VBR0,Grassland,Dusk2,41,12,5min
Grassland,AI,CBR128,Grassland,Dusk3,7,12,10min
Grassland,AI,CBR16,Grassland,Dusk3,13,12,10min
Grassland,AI,CBR256,Grassland,Dusk3,6,12,10min
Grassland,AI,CBR32,Grassland,Dusk3,6,12,10min
Grassland,AI,CBR320,Grassland,Dusk3,6,12,10min
Grassland,AI,CBR64,Grassland,Dusk3,8,12,10min
Grassland,AI,CBR8,Grassland,Dusk3,17,12,10min
Grassland,AI,RAW,Grassland,Dusk3,10,12,10min
Grassland,AI,VBR0,Grassland,Dusk3,7,12,10min
Grassland,AI,CBR128,Grassland,Dusk3,8,12,2.5min
Grassland,AI,CBR16,Grassland,Dusk3,66,12,2.5min
Grassland,AI,CBR256,Grassland,Dusk3,11,12,2.5min
Grassland,AI,CBR32,Grassland,Dusk3,17,12,2.5min
Grassland,AI,CBR320,Grassland,Dusk3,5,12,2.5min
Grassland,AI,CBR64,Grassland,Dusk3,11,12,2.5min
Grassland,AI,CBR8,Grassland,Dusk3,70,12,2.5min
Grassland,AI,RAW,Grassland,Dusk3,36,12,2.5min
Grassland,AI,VBR0,Grassland,Dusk3,6,12,2.5min
Grassland,AI,CBR128,Grassland,Dusk3,5,12,20min
Grassland,AI,CBR16,Grassland,Dusk3,7,12,20min
Grassland,AI,CBR256,Grassland,Dusk3,4,12,20min
Grassland,AI,CBR32,Grassland,Dusk3,9,12,20min
