"","index","compression","frame.size","median","lower","higher"
"151","total.abs.R","CBR320","2_5min",0.0300005091464502,0.0216682383211634,0.039787498785066
"152","total.abs.R","CBR256","2_5min",0.0591959866875055,0.0421525123091223,0.0784005205513702
"153","total.abs.R","VBR0","2_5min",0.331452037317408,0.223060307222315,0.475361296159504
"154","total.abs.R","CBR128","2_5min",0.803598049316856,0.563998670095382,1.26252011383817
"155","total.abs.R","CBR64","2_5min",4.74245887347641,3.29107451562519,6.25163015430221
"156","total.abs.R","CBR32","2_5min",6.98618780902598,5.15046065893903,9.17722007976205
"157","total.abs.R","CBR16","2_5min",12.5354019624416,11.0765053441816,15.3174034846067
"158","total.abs.R","CBR16","2_5min",12.5354019624416,11.0765053441816,15.3174034846067
"159","total.abs.R","CBR8","2_5min",19.8261281951027,16.7618441294602,25.6145480351484
"160","total.abs.R","RAW","2_5min",0,0,0
